,Filename,Prompt,Language,Score Level,Text
3893,674845.txt,P7,SPA,medium,"I think that is more important for students to understand ideas and concepts than to learn facts , because once they have clear in their minds the concepst about some article , called science , mat , phycology , any thing tha they are learning , it is posible to follow up with the learning procecess .
I completly agree , when i have idea of what my professror is talking about , when i comprhended the bases of any discoution , is the point to opened the door to the understatndin and after , i can memorize and learn the facts .

Many times students , include myself , are seeting in a class , where the professor is showing the facts , but seems like professor and student most forget that how can you have an example or talk about a fact with out understand the mean idea .

I am in a nursing class for example , if i do not understand the idea or concepts about the heart mechanisms , how the heart works , how the blood it is pump , thense i will never understant the fact tha a patient is having a heart attack due to high blood pressure .
It is really important for any student , of any profetion , for any area of life , to understand firts the ideas , the concepts , it is the ideas that shows up first in our brain , that make us think , is those thougths that motivated us to find the facts , i think the facts should follow a good understanding of the ideas , finally if a student is in a class with out undestend ideas , is better to ask questions , express themself about how they fell , and have some help with books , webs , or talking with the tacher , it is better understand than learn facts , once i understand , the rest is easy .
"
9342,1494458.txt,P2,JPN,high,"I agree with the statement that , young people enjoy life more that older people do .
There are 3 reasons why I agree with that opinion .
First of all , for young people most of the things they experience are new and they facinate young people .
Young people have curiosity and it motivates them to do things and try many things .
I believe that trying to do something is essential for my life and it is the best way to enjoy my life .
However elderly people know what is interesting and what is not , and they easily give up trying .

Secondly , young people often worry .
They worry about their future , love , relationship between their friends or family and so on .
While they are worrying about these things there are lots of talking , laughing and crying and that makes people grow up .
Young people often have more dificulties than elderly people do , and it is because taht young people have less knowledge .
But I do not think having less knowledge for life experience is bad thing .
It also can motivate people .
Usually , older peoople use their knowledge of their experience and avoid having difficulty and chose easier way .
It is not an interesting thing for me at all .

Third reason is concerned about physical problems .
When people get older , that is natural that you have more physical problems that you used to when you were young .
Physical and phycology effect each other , so when older people get physical pain , they might be nervouse and do not feel like doing anything .
Actually , my grand mother used to play golf untill about she was 55 , but since she got a pain on her knee , she stopped playing golf and the more , she stopped going outside .
I was very sad I saw her always sitting on a chair and watching TV .
But young people have much less physical problems so that we can try anything we want to .

Young people are hopefull and have lots of energy .
When you get older and reflect yourself for not to do anything you wanted to , is what I hate the most .
Challenging is the best thing to satisfy your life .

For those reasons I believe that young people can enjoy life more than older people do .
"
8807,1390765.txt,P2,KOR,medium,"By looking at the people around me and the society , I could see that young people tent to enjoy life more than older people do .
I think it is true that the young people enjoy their life than most older people do as the young people think more positively than older people do and as the young people try to do everything in enjoyable ways .

First of all , young people have positive minds that they try to accept things in good way even though they are not in a fondable situation .
But in contrast , old people worry first and afraid to put in actions before they start .
In my opinion , this is because the young people believe that they still have a lot of years to live so that they always try to carry out experimental things and try new things .
On the other hand , older people think that they do not have long lives left .
they always try to be care and think more before they carry out any things .
For example , when I and my father goes to a restaurant , we often choose different meals .
My father always choose the same menu that he had last time but I always choose different meals and sometimes try new ones if the restaurant invented one .
Like this , older people do not like change their normal routine and get out of tract when young people like to change and try new more .

Secondly , young people tend to enjoy life more than older people do as the young people take things easy and try to enjoy everything they do .
I think it is true that young people seek out for something that is interesting and fun while older people find everything seems to be same .
For example , I went to a market with my grandmother and when we got to there , my grandmother only went straight to the section where it has things that she has to buy .
However , when I entered , I walked around the most sections and saw things that are displayed and read notes on it .
Like this , young people find interesting facts for themselves even from boring things when the older people only look for what they want .

Overall , I agree on the statement that young people enjoy life more than older people do as young people are always open-minded and make thing enjoyable for themselves in their ways .
"
204,35548.txt,P2,KOR,high,"Young people often wonder about their future , questioning if they will be happier when they get old .
In general , older people lives happier life than the young .
First point that I want to address is that the older people are more stable emotionally As people become mature as a human being , they would not be tempered as quickly as they used to be .
we discover that it is meaningness to be agressive .
For example , I hated everyone at school when I was in middleschool .
However , when I read To kill a mocking bird , a novel , I started to realize that it is wrong to hate someone with no reason Second , older people lives happier life by managing or overcomming their hardships easily .
There are times of desperation and sadness in our lives .
To prevail frustration is very important to avoid depression and anger , but young people usally does not have ability to do so .
Statistics conducted on 2006 showed that there were average thirty students for a day who committed sucide because of their academic pressure .
It is relatively bigger average rate than of adults , while it is not ture that students bare more stress than adults .

The last thing I have discovered is that older people appreciates things in their life more .
My grandmother knows how to appreciate small thing in her life such as sunshine , food , and house ; it seems that she gets happy every moment in her life .

In contrast , young people tend to be careless and negative .
They say `` Cool '' only when there is a really nice things .

In Conclusion , Older people tend to have happier lifes .
By mangaging frustration , emotional stability , and appreciation of life able them to be happy in every aspects of lives .
"
3580,622347.txt,P4,ARA,low,"Is really everything you see in advertisments is better ?
its hard question to answer because ther are some products are really better than it shows in the advertisments and the others are do n't .

I disagree about the food 's product because they do n't care by the people at all , the important think for them is how to collect the money from people , but no body asks him selfe this quistion Is that really this food healthy ? .
no body from them asks How many one will suffring if they use this product .

Let me be more spacific and talk about kind of food which is the humberger .
We watch alot of advertisements about it , in TV , newspaper , magazine , and we hear them in the Radio station , but I never heard from those people explanation if the product is healthy or not .
Is the product helping peopl have a bad colestrol or not .
In fact the humberger increase the bad colestrol , and it couse alot of heart problems such as the hart attack .
Unfortuanatly , the government dos n't care .
they care only for colecting money from them , but the people it dos n't matter if they will go to the hill .

In the same time I agree there are a products show in advertisements helping the people .
For example the products helping the Handecab people , or any kind of product give a real advice to the people such as , the medicin product , of course we will ask our doctors abut it .
Also I disagree about the product became an a dengerous .
For example the advertisements call people to jump from over the mountain , or eat some insects like Fear Factor program , I know there is a warning in the program , but the people do like them exactly , and they got hurts .

So we need to be honest with our advertisement and with people .
"
479,86347.txt,P1,TEL,high,"I strongly disagree with the notion that having a broad knowledge of many subjects is better than specializing in one .
I feel that in today 's world , where competition for jobs is increasing , one who specializes in a particular field is the one who stands out in the crowd of men and women who have a knowledge of many subjects .
Also , the person becomes passionate about the subject that he decides to specialize in and that gives him enormous satisfaction .
Great personalities testify the fact that specializing in one field always the better option .

Da Vinci , one of the most famous artists of all times was also an accomplished physicist .
Although he had no formal education in the field , he had a great wealth of knowledge about it .
However , this was detrimental to him in a way as he always used to think of his paintings in a scientific way rather than a purely artistic one .
So although he created masterpieces , he left many more projects unfinished as he felt that those projects were lacking in some detail scientifically .
For example , he thought that a painting should contain no element of ethreal fantasy and that it must obey the laws of physics .
In this way , his choice was limited and he did not access his full potential .
Had he been a little less rigid in his principles , we would have seen many more of his wonderful works .

Another example would be my uncle who switched his majors no less than four times while doing his undergraduation .
When he tried to get a good job in one of the fields he had studied , he found none .
To his dismay , he discovered that each of the jobs needed an extensive knowledge on the subject , a specialisation of some kind .
After the incident , he finally settled for medicine and went to graduate school .
He specialized in Nephrology and needless to say , is a successful surgeon now .

In conclusion I strongly feel that being a jack of all trades and master of none diffuses one 's talents and prevents one from reaching the highest potential .
An individual can carve a niche for himself in the world if he has his own identity , in this case , the one subject he takes up and specializes in .
"
3783,656961.txt,P8,TEL,medium,"I agree with the statement `` Successful people try new things and take risks rather than only doing what they already know how to do well . ''

People always try new things in oneway or the other to make their life more affordable or happier .
When a person tries in developing something that would make life of society , he will succed in doing so because he have invested considerable amount of time and risk .
Once succeded , he looks for new things that are pausable for many people .
He takes this as a spirit or challenge .
He brainstrom ideas , put to experiment and take the risks .
It is a desire to try newthings with risk for the people who were successful in the past .
It makes them fell happier and drive forward .

I would give some personal examples to strongly support my above statement .
For instance , when I was working on reasearch project at a pharmaceutical company back in my early childhood , I developed a drug for cancer that helped cure many people .
I took the risk in developing the drug knowing the consequences that will have my life .
This successful incident led me to try new things .

Development of instrument that revolutionized the lives of people who have Diabetes ( people who cannot regulate bood sugar ) .
This happened when I was with Pfizer in early 1984 .
At times there is no way people can analyse their blood sugar level without going to hospitals .
It was really very hard on me to develop and instrument that would one day help everyone to get their blood glucose results instantaneously .
I had spent considerable amount of time on this project .
If I am right , it took me 10 years to develop this instrument .

I felt it is like taking the risk , because I may succed at the end or may be not .
I was very successful in doing so .

Finally , I would appreciate the people who are successful and try new things , eventhough knowing the risks in doing so .
"
10597,1727596.txt,P7,SPA,medium,"I agree with the statement porpoused in wich is stablished that for students it is more important to undertand ideas and concepts than learning facts .

I do have to be clear saying that facts are not as important as concepts and ideas are , but fatcs are not secundary thing without impotance they are really importat in any learning process .

I say this because I am student and I can now be sure that when a teacher begins explaining facts without a theory before that includes different concepts and ideas , the class is really a lack of time , because students maybe understand the facts but do not really learn the theory that it is behind of it .

Althouht it is also inconvinient for learning , when whe as students only recive concepts and ideas but no facts or examples that explains what the teacher is trying to explain , because in this way possibly we learn a teory but we wo n't be capables of ussing it .

A clear example of this matter it is when you try by yourself to read a law , for sure will be very difficult to understand what is regulating , but when a teacher gives you some facts it is much clear and you really understand what is that law trying to regulate .

Finally I do have to accept that when a teacher uses facts that really ecourage students .

So I think I is clrear that concepts are very important but thet sholud be accompai
"
6623,1079141.txt,P1,DEU,medium,"I think a basic knowledge is necessary , but in my oppinion our society needs more people who are familliar with one specific subject .
Having broad knowlege does not necessarily helps you to solve a specific problem .
In my home country for example , there are many people who can handle a computer , but there are only a few who have enough knowledge to deal with certain problems on their own .
That 's one reason why many computerfirms hirer people from countries like India .
This situation is not so good for our inhabitants , because often they do not get a job .

This is only one example for why specialization has advantages for the economy of a country .
There is no doubt on that employees need a broad knowledge to be flexible , if they for example lose their job , which is a great problem in our country .
But I think , if there are experts for almost every area , a country 's economy has many advantages , altough it is very risky for the inhabitants to specialize , because they may get no job in their specific academic subject .

But as I said , there are many advantages which support the idea of specialize in one specific area .
But it shoulb be regarded what size and capacity the firm has .
A big company has many employees and so each employee can handle a problem on his own .
If he need to know anything about an other subject he can ask an other expert for help .
So with the help of teamwork they can nearly solve every problem .
In smaller businesses this looks a bit different , because small firms can not afford so many employees .
So for smaller businesses it is better to have a broad knowledge , so that you can solve many different problems .
"
1235,203624.txt,P2,ARA,medium,"I belive the young people enjoy life more than older people , because Young people always thinks that there are in the begining of there life and they have a long life in the future .
On the other hand we have the older people who thinks that there life will end soon .

Another reason that I think why young people enjoy life more than older people is that they do not have the experience of life , so everything they do is interstinting and new to them .
But for older people they went into a lot of situations and problems , so they gain a lot of experience and when thaey go threw it again , they will think it is boaring and old .

Young people are always active and looking for some new and enojoyable adventures .
Older people do not like to chanege there situations and want to keep the same old stuff .

Whenever the person is young and healthy he has more ability to enjoy what he is doing , and whenever he start getting old he start losing these abilities .
Young peole always look and search for thare fun , so they can enjoy there life before getting old .
When you ask an old person about his long life he will always mention the enjoyable times that he had when he was younger , and he will love to start doing it from the begining .
Young people are easier to have fun and enjoy life than older people .

At the end I belive that young people is easier to make them enjoy life than older peole
"
8337,1301504.txt,P8,FRA,medium,"i am agree with this statement .
indeed , to be successful , it is important to be creative , try new things and take risks .
i think that it is very important to do a lot of thing that we do n't already know , because if we already do what we hnow , we cannot carry on in the life .

To illustrate my point of view , i would like to use several examples .
In the professional work , it is important to try new things and take risks to be successful and not to do only what we already know .
if someone wants to create his own entreprise or create a new concept , it is important that he has quality that other people does n't have .
Why not open a new company creating an innovative and concequently a new product .
At the beginning , it is sure it will be hard , but if we never try new things we cannot know .

I think that so many people are scare about new thing and prefer doing something known .
For example , before the ipod or Mp3 players , everybody listened music thanks to a walkwan .
Ererybody was happy and liked it .
But one day , a man decided to create something new , with another concept and it was a very good idea .
We know that today Apple is very successful , many young use apple 's products and the creator is very rich .
Why ?
Just because he tried something new and he took risks .

I think it is the same thing in all the domain .
At work , a director prefer a employee who try new thing and take risks than an employee who already do the same thing , something already know how to do well .
To my mind , the first one will have more chances to sucess , and a better evolution carreer .

To finish , even in the artistic world this statement is confirm .
Indeed , at the beginning , a singer is not known , but taken risks ans trying to sing , he can become successful , even if at the base it is not his job but more a passion , an hobby .
"
8965,1425021.txt,P2,TUR,high,"The cycle of life has not changed since the begining of the time .
Every humanbeing borns , grows and dies ; but the most important thing in this preiod of time is to fill out your life in the most proper way which fits to you .

Every period of this life cycle has it 's own rules and conditions .
When you are a child you are not able to do whatever you want ; furthermore when you are a baby you are even not able to tell what you want .
This cycle of life may seem a little bit unfair to us but actually it is not .
At that period none of us has to take responsbility or none of us has to work for earning money , so may be those times were the easiest and most favorable parts of our lives .

If you are in the middle period of your life cycle ; I mean if you are a young person , you are able to do lots of things without permissions , warnings or even concerns .
As I mentioned before while you are young you are able to do whatever you want and even stupid or risky thinks ; but in this case one important limitation comes into play , which is your metabolism .
As a perspective explanation ; people are allowed to do things as long as their health and metobolism let them .
If you are a young person without disabilities ; there exists about nothing to stop you or prevent you from enoying the life .
You can go to swimming , you can go to scuba diving and you can even try bungee jumping ; but we all have to remember that we have only one limitation which is our health .

On the other hand if you are getting older and , if it has been a while since you passed the boundary line of middle cycle of your life ; it means that you are not that strong as you were at your previous years .
In this cycle people start to loose their strength and energy , moreover their metabolism gets slower and slower day by day .
This of course does not mean that these kind of people are not able to enjoy , but at the same time it means that noe these people have some health limitations and not able to do whatever that they want now .

In conclusion everybody in the World can enjoy the life ; but of course not in the same ratio or amount .
And who can deny that young people have a big advantage under these circumstances ?
"
8232,1280579.txt,P4,ZHO,medium,"There is a diversity of opinions over the issue of whether most advertisements make products seem much better than they really are .
Nowadays , when faced such a problem , some people believe that most advertisements make products seem much better than they really are , Others , on the contrary , seem to have opposite opinions .
In my point of ivew , however , I fully agree with this position that most advertisements make prodcuts seem much better than they they really are for the following reasons .
Here are some reasons why .

First of all , consumers ca n't deny that companies spend a lot money to broadcast their prodcuts .
Using pop stars or overstating their effects is one of their ways to sell their products .
However , consumers never think about where these money come from and go .
As a matter of fact , what consumers pay for what they buy going to the advertising because companies want to cousmers to buy their products .
There are a lot of similar products in the markets .
Only one way making consumers to remembe and choose their products is to advertise .

In addition , companies using advertisements tell people that how good their products are .
In fact , people always feel upset because the products do n't satisafy them .
Take myself for a example , one time I bought a food , according to the advertisement , that could helf me to reduce my weight .
Needless to say , I spent a lot of money and time to try it .
However , the outcome was making me pretty upset becuase it did n't work even thoug the company has guarantee about the effects .
After this experience , I never believe what advertisements say .

To sum up , it is not very wise to believe any advertisements .
My personal experiences and actual observations of life have led me to conclusion that companies spend a lot of money to broadcast their products even though their products does n't seem much better than they really are .
Companies not only exagrrate the abilities of products , but also transfer the costs to the consumers .
"
6731,1089601.txt,P7,ZHO,medium,"When it comes to students learning , the discussion of the issue has become a vogue during the last decade .
Considering soial atmosphere today , some people hold the opinion that learning facts is more important for students is superior to understanding ideas and concepts .
Others , however , contradict learning facts .
Personally , I agree on that understanding ideas and concepts because it has more advantags .

Firstly , thoes people agree on learning forget a universal truth that as a old saying that `` know the smell until you teste it '' .
As I remember , the people popular in the society all have strong abilities that can paly a role in their work areas .
The abilities can not be learned in the classes , because it needs to have more practise in the real society .

Inaddition , another more essential factor why I advocate understanding is more importan is that learning facts without understan will forget soon .
An example I can give the details of the argument : some people like to copy other 's work in order to hand in in to the teacher , but they never understand what the answers mean , because they just learn to do not understand to do .
Thus , they could't get the knowlogies .

Of couse , choosing the learning facts also has advantages in some extent .
For example , the tescher always give us right answer that could avoid to waste of time ; they also guide us a shortest way to reach the results ; and they do good for us to make a better life ; and so on .

But if all these factors are contemplate , the advantages of understanding idaes and concepts carry more weight than those of learning .
To sum up , based on the above discussion , it is obvious to conclude that it is more important for students to understand ideas and concepts than learning factors .
"
19,4750.txt,P7,FRA,high,"In whatever lesson , we learn ideas , concepts and facts .
Ideas present the topic and facts are an application of these ideas .
I think it 's more important for students to understand ideas and concepts than it 's for them to learn facts .

The way to understand well a lesson is , first of all , to understand ideas and concepts and then , understand facts .
It 's not reversible .
For example , in history class about World War One , you have to understand why this war took place and why all the countries were involved in this fight before learning facts : battles , events , great names , famous days ...
Another example happens in mathematics class , you see that a theorem can be applied to particular cases but you should have understod before all the concepts which are used in the theorem .

Secondly , I think that , in a lesson , ideas and concepts are more significant than simple facts .
Indeed , facts are just applications of ideas .
I mean that without ideas and concepts , you ca n't totaly understand a lesson .
You can partially , of course , but it 's not the same .
I ca n't really explain it but you feel differently when you 've understood all .
I feel kind of victorious when all is clear in my head .
You ca n't get all the details explained if you 've just learnt facts because they are not enough to get to the heart of a topic .

At last , what is the point of a lecture or a lesson if you just remember facts ?
Facts ca n't exist without ideas or concepts whereas ideas and concepts do n't have to be related to facts to exist .
I know it sounds weird but some fields of knowledge such as metaphysics do n't really have any applications .
However , they exist .
Besides , we always can extract an idea from a fact , whereas the opposite is n't as easy as we think .

For all these reasons , I think that students should understand ideas and concepts before learning facts .
"
10506,1713332.txt,P7,ITA,medium,"I do agree with the statement .
Facts are important above all as example or expression of the concept wich is behind them .
Facts are for sure important because they can explain things .
They can help rememberimg a thing ; they can focused the attenction on a peculiar aspect of the subject , can be helpfull to explain or capture the ideas wich they follow .

You can remeber all the facts that you like , but if you had well understand concepts you will be able to recombine them in different and original ways .
You may be able analize even different situation following the same concept .
To explain better my point of view I 'll take some accademic subjects as examples .
For istance It is not important , to me , remembering dates and hours of every single battles as long as you can remeber how the war went , why it broke out , who were fiting and why .

In history what it is crucial is the general setting of the period .
Another good example can be even a scientific subject as the chemistry .
It is not essential to remeber wich specific salt and wich peculiar base are combined ( facts ) , as long as you rember the way the reaction goes and wich is the result ( concept ) .

Reffering to enother subject as sociology what it is important , for example , it is to remember that someone 's behaviour can be modified by the society 's response to his action .
Keep in mind every single possible society 's reaction it is not that crucial .

To resume my point of view in few world : If I can propely understand the concept and the idea of what I 'm learning I will be able even to elaborate them and to use it even in different suituation .

I can recombine concepts in different ways , I can adapt them to a variety of sistuations I might need to analize .
"
2057,354664.txt,P8,HIN,medium,"I completely agree with the statement that ` succesful people try new things and take risks rather than only doing what they already know how to do well ' .
In today 's world successful person is not the only one who has lots of money or is very weel know , it is somebody who has done something different from the others .
There is nothing great if you repeat something that is already being done by somebody else .
Successful people try new things who move ahead and in a different direction then everybody else do .
Taking for example the case the ` Dhiubhai Ambani ' who is today being called as the successful person even though he is not present , just because he did different and tried a new thing that is the reson Reliance is so popular today .
The new care taker of the Reliance company are the sons of its establisher so we cannot call them as equally successful as their father as they have just simply taken over his bussiness .
What Dhiru Bhai did was unmatchable with the work of his sons as he started the bussiness with not much of money in his hand whereas the two of them now are just spreading an already established bussiness .

Taking risk is another part of success as it is a well saying ' more the risk involved , more the chances of success ' .
As one can also see that a good thing always involves high amount of risk .
To achieve good things one have to go through a series of risk involved as according to another saying ' to get the rose you have to suffer the pain of being hurt ' , and to get the success the risk has to be taken no matter how painful it can be .

Risks are involved in every new thing or you can say that risk is an internal part of every success one wants to achieve .
If nobody would have been ready to take risk there would not have been any new inventions .
To be successful in life one have to go thorough one or some other kind of risk .
Otherwise success would have been very easy without risk and every person would have been successful or you can say that every person would have been at the same level .

Success involves risks .
Suppose during the britishers rule over India if every person espacially our freedom fight leaders would not have came forward considering the risk involved and would have lived the way the rulers wanted them to then would we have ever got independence ?
Ofcourse not , thats why to became successful and get the independence they had to take the risk of their lives .
We can also consider the example of economics in which we say ` higher the risk involved i
"
8551,1346734.txt,P4,FRA,low,"Nowdays people use advertisement to show their product ; or to commercialize it ; but usualy they push much more on these advertisement .
I mean they show their item pretier or say something that 's not true about it .

I think that 's abuzing on costumers trust .
Example : when you are usig a phone card the time remaining is generaly less than they said .
Another example is car ; the preformance they said about it is false .
So as costumer i agee with the statement , and i think people should take time to make a right choice before buying their items .
And campanies should show the right side of their productions .
"
11485,1886957.txt,P8,SPA,high,"Nowadays , there are numerous debates about the issue whether or not people success by trying new things and take risks rather than only doing what they already know how to do well .
Some people hold the opinion that it is true that people can only sucess by doing new things .
However , in my opinion , I disagree with the statement because successful people can success by doing the same things they already know how to do well .

First of all , the crucial reason in holding my opnion is that when people do things that they already know they do not have to worry about the risks that follow after they do it .
For instance , my father is an owner of a supermarket .
He has run the business for ten years , and when we moved to Canada he is still thinking of opening a new supermarket here .
By doing this , he does not have to worry about how to manage the business or how to improve the business because he already has the experience of how to run it .
Another example could be when a person wants to switch to another job such as being a doctor , chances are that she will not be successful being a doctor .
Thus , you do not have to worry about what will happen next if you continue to do things that you already know .

Furthermore , another reason in holding my opinion is that by doing things that you already know will help you not to make mistakes .
For example , my mother is working as an accountant and when she met her friend Veronica , who works in the stock , she encourage her to invest her money in the stock because she says that it will double or even triple her money .
As my mother does not know anything about investment , she trusted Veronica because she thinks that she will never betray her , and invest all her money in the stock market .
As a result , the stock market went down and she losses all her money .
This is a clear example on how people can make mistakes when they do not know about the subject , and thus be unsuccessful .

All in all , I think that people will be more successful by doing what they already know instead of trying new things and take risks , because they do not have to worry about what will happen to them and also it will help them not to make mistakes .
Therefore , for these reasons I would say that risks takers are not as successful as people who do things that they already know how to do .
"
464,83182.txt,P4,FRA,high,"Advertisement has been widely critized for giving wrong information to consumers .
Therefore it is a common idea , with which I agree , that advertisers make products seem much better than they really are .
Numerous reasons explain the motivations and reasons to such a behaviour ; the defintion of marketing and the asymmetric information between producers and consumers .

First of all , to justify the statement , let us focus on the aim of advertising .
Adverstisers create ads in order to attract the largest part of consumers they possibly can .
That is to say that an effective ad is one that can make consumers believe that the product is worth being bought and of course consumed .

To that end , advertisers will naturally emphasize all the good aspects of the product in order to compound the bad ones .
Fast food is a fine example of this strategy .
Indeed , while all you can get from a fast food advertisement is its tasty picture and its low price , nothing is mentionned about the fatening potential is encounters .

This manipulation of the consumer is of course unethical and that is one of the reasons why advertisment is critized .
However , it is explainable by what an American economist named Steven Levitt calls asymmetric information .
This theory arguments and justifies my agreement with the essay statement .
What Levitt calls asymmetric information points out the fact that advertisers have a considerable advantage compared to consumers which is information .

Indeed , adverstisers have all the information they need about the product they work on .
It is therefore their prerogative to choose easily among those informations the ones they want to keep to make their products seem much better than they really are .

In that way , we can say that consumers are victims of such asymmetric informations .

Because of the aim of marketing and advertisers advantage compared to consumers when it comes to information , most
"
4395,762179.txt,P8,ITA,medium,"I really agree with this statement but I agree if we speak about really successful people and not only about people that had too much fortune .
But concerning on special people I think that we have to think what there is under success .
The most successful people are talentous , open-minded , ambitious and very self-confident .
This features can bring you to success easilly but these feature make also people never be satisfited .
So when they reach an important target immediatly the happines for that becomes an aim to reach another new and more difficult target .
For example , speaking about jobs , I think that the most successful people are not really interested in money itself but in becoming the best one on his job , without limits .
I think also that there is a particolur and exacting emotion when you see that you are able to become always better and that nothing can stop you , and perhaps there are persons that feel alive only when they risk to try always something new .
There is a faomous phrase that is : `` risk is my job '' .
It 's obvious that when a common person sees someone who is rich , powerful and that got everything you can dream risking evertything only to try new experiences or emotions , he colud say : `` he is really crazy ! '' , but we know that genious and madness are often joined .
We can see some examples in real life .
I want to give a real simple example speaking about sports .
Foe example the famous Valentino Rossi , the motorbiker , had been three times world champion of the top class with the Honda team and he had the best motorbike and if he had stayed with that team he was sure to win again , but afeter having won for three times the title he decided to change team and go to Yhamaha .
At that time Yamaha had a no-competitive motorbike and it was a very hard risk for him .
"
8108,1258000.txt,P2,DEU,medium,"Well i think it 's very difficult to claim that young people enjoy life more than older people do .
The first quesiton is , what are old people , and what are young people ?

It mainly depends on the person .
Let us say young people are between 18 and 30 and eldery people are about 60 years old .
In this case , young people have other interests than eldery people have .
For example , young people are visiting discos or concerts with loud music , whereas eldery people are enjoing a good dinner in a calm and relaxed atmosphere with classical music in the backround .
But i have to mention , that i also know people who are about 60 who still attend concerts with loud music .
For example the generation who grows up with rollingstonse or ACDC still goes to their concerts .
The only difference is , that young people normaly are in better shape then eldery people are .
The older you are the more problems your are getting with your physical condition .
For example , young people can make more sports .
Eldery people have to care more about themselve .
Maybe young people are often more flexibel but this is also a stereotype .
After my opinion this is not very important to enjoy life .
Usually , Eldery people can do the same things like younger people can do if they are carefully .
They even have one important advantage , because they usually have more time and more money to enjoy their life than younger people have .
If they have enough money , they can fly or travel to each place where they want to , whereas the younger ones have to go to school , to university or to work .
The young people either have n't enough money to do things or they have n't enough time .

Like i have written at the beginning of this text , how you enjoy life depends on your pesonaltiy and on your flexability .
If you stay in life and if you stil have fun , the age is n't so importan for enjoing life .
"
9989,1621334.txt,P2,SPA,medium,"Many people beleave that young people enjoy life more than older people do , as well as diferent cultures can agree or desagree on this asumption by their contribution to their culture 's development .

In some groups , cultures or families , young people are defined to be the motor of the group grouth , becouse they are suposed to studdy when they are young in orther to reach a high intelectual capability to create grouth and diminish poverty , in this particular groups , young people have more free time to studdy , travel and play sports in order to experience and learn what they need to .
So , for this groups , young people certainly enjoy life more than older people do .

On the other hand there are cultures or groups which beleave that young people have to work day and night because the older they get , the most knowledge they acumulate in order to become leaders of the culture .
Because of this , older people are rewarded by being able to make desitions about the group 's future and enjoy life .

from my perspective , today , we have the freedom to deside weather I enjoy more life when I 'm young or older , persons do n't belong to a comunity that tels them what to do , they deside if they want to be part of the comunity who travels , partys , plays sports and does n't do much during their first years of life , in order to work during their mid age until they are older .
Or to be part of a comunity who studies very hard and focusess on their profetional goals in order to have a retirement plan that will gives them the oportunity , solvency and calm to enjoy life .

In conclution I desagree with the statement that young people enjoy life more than older people do , every person should deside when to enjoy life , that shoud be every person 's goal in life , to have the posibility to chouse what fits their personal nesecities .
"
9833,1591119.txt,P3,ITA,medium,"I think that this statement is a real view of the today 's life of the young people and not only .
Because the first reason for this problem is that today , young people have not too many time to stay with their really friends and so do n't have time to help a communities .
Today this boys have always the same size of work at home for the school assignment , but when this is finished , they start to play with the computer or to do something of similar .
In this situation they have only a few time to try to help a community , but in this time they think to other things .
This communities , i think that may be helped by everybody , also in dayly life but with the today 's life , with only the money at the center of everything , only few people there is that think to them .
Now , infact , there is changing in the life not only of young people , the dayly work is different also for the time that it had in a day , with a lot of people working from the early morning to the start of evening , so they may try to help the communities only in the weekend if they do n't work .
But the family in the weekend try to do something together .
So with all this changing that there is in the dayly life of everybody , young or not , it is difficult to improve this sector of the world .
Also I do n't give enought time to helping my communities , and I know this .
But I had not too time today to support this and I hope that there will be some change in the life , to give some importance also to this sector .
"
9503,1530415.txt,P2,ARA,medium,"young people think that they can enjoy their life more than the older ones , but in my opinion I think older people can enjoy their life even more if they want to .
Sometimes you see a 100 old man or a women that can talks like a 20 years old man .
This is related to the feelings and to the minds .
For example , if a 20 years old man always nagging about his life and always complaining about life and problems and never stops a moment to think and ask himself : is life really worth it ??
am I really sick or thats just in my mind ?
he will always feel sick if thats what was in his mind .
Accepting your life as it is is a treature and most people these days do n't have it !

there is a question that how can the older men enjoy their lives ?
to answer this question we should ask ourselfs first What are the pleasures in life ??
I mean it depends on each person .
some people think of parties and calaberating all day long .
Others find pleasures in their food .
what can he eat on the next meal ?

traveling is a pleasure for some people .
They travel all around the world to discover more places and meet new people .
others just find their pleasures sitting home watching TV all day .
so , back to our question : what can be the pleasure of an old man ?
you ca n't say really it depends on his personality , but maybe in my opinion he just love to sit home with his family doing many stuff that we see it as silly stuff but its really maters for him , like drinking tea with his son and discussing some things .

finally , you can be young in your heart no matter what your age is .
"
